ccg,group,postcode,practice_name,address,list_size,brick,
 North Hampshire ,GP SURGERY,RG21 8SU,THE HACKWOOD PARTNERSHIP,ESSEX HOUSE,13100,RG21,441256637210
 Gloucestershire ,GP PRACTICE DISPENSING,GL20 7QN,BREDON HILL SURGERY,MAIN ROAD,5450,GL52,441684773444
 Somerset ,GP PRACTICE DISPENSING,TA9 4JD,BRENT AREA MEDICAL CENTRE,ANVIL HOUSE,2700,TA08,441278760313
 Somerset ,GP SURGERY,TA6 5JS,CRANLEIGH GARDENS MEDICAL CENTRE,CRANLEIGH GARDENS,8200,TA06,441278433335
 Brent ,GP SURGERY,NW10 8TF,BRENTFIELD MEDICAL CENTRE,10 KINGFISHER WAY,9100,NW10,442088302396
 Hounslow ,GP SURGERY,TW8 8DS,BRENTFORD GROUP PRACTICE,BRENTFORD HEALTH CENTRE,7300,TW08,442086303844
 Hounslow ,GP SURGERY,TW8 8DS,THE ALBANY PRACTICE,BRENTFORD HEALTH CENTRE,6000,TW08,442086303838
 Cambs and Peterborough ,GP SURGERY,PE3 8DT,BRETTON MEDICAL PRACTICE,BRETTON HEALTH CENTRE,12000,PE03,441733264506
 Mid Essex ,GP SURGERY,CM3 5XB,BRICKFIELDS SURGERY,4 BRICKFIELDS ROAD,6035,CM03,441245328855
 East and N Herts ,GP SURGERY,AL6 9EF,BRIDGE COTTAGE SURGERY,41 HIGH STREET,16057,AL08,441438715044
 Dorset ,GP SURGERY,DT6 5BN,DR WILSON & PARTNERS,THE BRIDPORT MEDICAL CENTRE,18000,DT06,441308421896
 Bristol ,HOSPITAL,BS2 8EG,ST MICHAEL'S HOSPITAL,SOUTHWELL STREET,0,BS01,441173425325
 Bristol ,HOSPITAL,BS2 8BJ,BRISTOL ROYAL HOSPITAL FOR CHILDREN,UPPER MAUDLIN STREET,0,BS01,441179276998
 Bristol ,HOSPITAL,BS2 8HW,BRISTOL ROYAL INFIRMARY (ACUTE),MARLBOROUGH STREET,0,BS01,441179230000
 Crawley ,GP SURGERY,RH11 9JA,COACHMANS MEDICAL PRACTICE,LANSBURY ROAD,9500,RH11,441293583320
 Wokingham ,HOSPITAL,RG45 7EG,BROADMOOR HOSPITAL,CROWTHORNE,0,RG40,441344754565
 Wandsworth ,GP SURGERY,SW18 4DU,BROCKLEBANK GROUP PRACTICE,BROCKLEBANK HEALTH CENTRE,10000,SW18,442038188270
 Wandsworth ,CLINIC OR HEALTH CENTRE,SW18 4DU,BROCKLEBANK HEALTH CENTRE,249 GARRATT LANE,0,SW18,442088125450
 North Somerset ,GP SURGERY,BS48 1BZ,BACKWELL & NAILSEA MEDICAL GROUP,8 BROCKWAY,13600,BS48,441275850600
 High Weald Lewes Havens,GP SURGERY,TN21 0DS,MANOR OAK SURGERY,HOREBEECH LANE,3822,TN21,441435812323
 West London K&C and Qpp ,HOSPITAL,SW3 6NP,ROYAL BROMPTON HOSPITAL,SYDNEY STREET,0,SW03,442073528121
 Mid Essex ,GP PRACTICE DISPENSING,CM7 4BQ,THE FRESHFORD PRACTICE,FRESHWELL HEALTH CENTRE,6910,CM07,441371810328
 Cambs and Peterborough ,GP SURGERY,CB1 3DQ,DR HICKLING & PARTNERS,SEYMOUR STREET,10100,CB01,448448151440
 Bristol ,GP SURGERY,BS4 4HU,BIRCHWOOD MEDICAL PRACTICE,BROOKLEA HEALTH CENTRE,6449,BS04,441173304225
 Bristol ,GP SURGERY,BS4 4HU,NIGHTINGALE VALLEY PRACTICE,BROOKLEA HEALTH CENTRE,15300,BS04,441173304300
 Isle Of Wight ,GP SURGERY,PO40 9DT,WEST WIGHT PRACTICE,BROOKSIDE HEALTH CENTRE,10650,PO40,441983758998
 Nene ,GP PRACTICE DISPENSING,NN29 7NJ,WOLLASTON & BOZEAT SURGERIES,1 BROOKSIDE,4900,NN08,441933663243
 Mid Essex ,HOSPITAL,CM1 7ET,BROOMFIELD HOSPITAL (ACUTE),COURT ROAD,0,CM01,441245362000
 West Hampshire ,GP SURGERY,SO53 2ZB,THE BROWNHILL SURGERY,2-4 BROWNHILL ROAD,6900,SO53,442380252414
 Enfield ,GP SURGERY,N13 4SE,BOWES MEDICAL CENTRE,135-137 BOWES ROAD,3300,NZ13,442088887775
 North Norfolk ,GP PRACTICE DISPENSING,NR13 5RP,BRUNDALL MEDICAL PARTNERSHIP,THE MEDICAL CENTRE,8000,NR12,441603712255
 Kingston ,GP SURGERY,KT6 6EZ,BRUNSWICK SURGERY,SURBITON HEALTH CENTRE,7500,KT06,442083905321
 East and N Herts ,GP SURGERY,SG9 9DQ,BUNTINGFORD MEDICAL CENTRE,WHITE HART CLOSE,5600,SG11,441763271362
 Slough ,GP SURGERY,SL1 7DE,BURNHAM HEALTH CENTRE,MINNIECROFT ROAD,22000,SL01,441628666326
 Somerset ,GP SURGERY,TA8 1EU,BURNHAM MEDICAL CENTRE,LOVE LANE,16000,TA08,441278795445
 Bexley ,GP SURGERY,DA7 6HZ,BURSTED WOOD SURGERY,219 ERITH ROAD,5000,DA07,442083011766
 Nene ,GP SURGERY,NN15 5PU,DR SPENCER & PARTNERS,BURTON LATIMER MEDICAL CENTRE,12000,NN15,441536723566
 Dorset ,GP SURGERY,BH23 7JN,THE BURTON SURGERY,123 SALISBURY ROAD,9000,BH23,441202474311
 East and N Herts ,GP SURGERY,AL10 8HP,BURVILL HOUSE SURGERY,52-54 DELLFIELD ROAD,9400,AL10,441707269091
 Oxfordshire ,GP SURGERY,OX3 9JA,DR AMERY & PARTNERS,BURY KNOWLE HEALTH CENTRE,15000,OX03,441865761651
 Herts Valleys ,GP SURGERY,WD23 2NN,MANOR VIEW PRACTICE,BUSHEY HEALTH CENTRE,13024,WD23,441923247446
 Herts Valleys ,GP SURGERY,WD23 2NN,ATTENBOROUGH SURGERY,BUSHEY HEALTH CENTRE,16500,WD23,441923231633
 North East West Devon,GP SURGERY,EX33 1LR,CAEN MEDICAL CENTRE,BRAUNTON,11968,EX34,441271818030
 Chiltern ,GP SURGERY,SL9 9SA,THE HALL PRACTICE,CALCOT MEDICAL CENTRE,9350,SL09,441753887311
 Kernow ,GP PRACTICE DISPENSING,PL17 7AW,DR BLEKSLEY & PARTNERS,CALLINGTON HEALTH CENTRE,16300,PL11,441579382666
 Surrey Heath ,GP SURGERY,GU15 2QA,CAMBERLEY HEALTH CENTRE,159 FRIMLEY ROAD,9800,GU15,44127620101
 Cambs and Peterborough ,PRIVATE HOSPITAL,CB24 9EL,SPIRE CAMBRIDGE LEA HOSPITAL,30 NEW ROAD,0,CB24,441223266900
 Bath and NE Somerset ,GP PRACTICE DISPENSING,BS39 5BW,DR COPPOCK & PARTNERS,THE GREEN,6550,BS41,441761452205
 Kernow ,GP SURGERY,PL32 9YT,DR GARROD,CAMELFORD MEDICAL CENTRE,3200,PL15,441840213893
 Kingston ,GP SURGERY,KT2 6HR,CANBURY MEDICAL CENTRE,1 ELM ROAD,10000,KT02,442085474270
 Surrey Downs ,GP SURGERY,KT10 0EH,CAPELFIELD SURGERY,ELM ROAD,7900,KT10,441372462501
 Enfield ,GP SURGERY,EN1 3LL,CARLTON HOUSE SURGERY,28 TENNISWOOD ROAD,12000,EN01,442083704900
 South Devon and Torbay ,GP SURGERY,TQ2 5UA,CROFT HALL MEDICAL PRACTICE,19 CROFT ROAD,8450,TQ02,441803298441
 South Devon and Torbay ,GP SURGERY,TQ9 5HA,CATHERINE HOUSE SURGERY,NEW WALK,2800,TQ09,441803862073
 Coastal West Sussex ,GP PRACTICE DISPENSING,PO19 1XT,CATHEDRAL MEDICAL GROUP,CAWLEY ROAD,12700,PO19,441243813450
 West Kent ,GP SURGERY,ME15 9FL,DR WILFORD & PARTNERS,MOTE MEDICAL PRACTICE,8500,ME15,441622756888
 Brent ,HOSPITAL,NW10 7NS,CENTRAL MIDDLESEX HOSPITAL (ACUTE/COMMUN,ACTON LANE,0,NW10,442089655733
 Milton Keynes ,GP SURGERY,MK13 8RN,DR ZACHARIAH & PARTNERS,CENTRAL MILTON KEYNES MEDICAL CENTRE,18000,MK13,441908605775
 East and N Herts ,GP SURGERY,CM21 9AQ,CENTRAL SURGERY,BELL STREET,12000,CM23,441279603180
 Ipswich East Suffolk ,GP SURGERY,IP11 9GA,THE GROVE MEDICAL CENTRE,GROVE ROAD,14900,IP11,441394283197
 Kingston ,GP SURGERY,KT6 6EZ,LANGLEY MEDICAL PRACTICE,SURBITON HEALTH CENTRE,7100,KT06,442083909996
 West Kent ,GP SURGERY,ME6 5SN,SNODLAND MEDICAL PRACTICE,CATTS ALLEY,12000,ME20,441634240296
 Oxfordshire ,GP SURGERY,OX2 9JS,BOTLEY MEDICAL CENTRE,ELMS ROAD,8500,OX02,441865248719
 Southampton ,PRIVATE HOSPITAL,SO16 6UY,SPIRE SOUTHAMPTON HOSPITAL,CHALYBEATE CLOSE,0,SO16,442380775544
 South Devon and Torbay ,GP SURGERY,TQ14 8AY,CHANNEL VIEW SURGERY,3 COURTENAY PLACE,8000,TQ14,441626774656
 Hammersmith and Fulham ,HOSPITAL,W6 8RF,CHARING CROSS HOSPITAL (ACUTE),FULHAM PALACE ROAD,0,WZ06,442033111234
 Bedfordshire ,GP PRACTICE DISPENSING,LU7 0NE,ASHCROFT SURGERY,STEWKLEY ROAD,4429,LU07,441296688201
 Bristol ,GP SURGERY,BS5 0UA,CHARLOTTE KEEL MEDICAL PRACTICE,CHARLOTTE KEEL HEALTH CENTRE,18500,BS05,441179027145
 Enfield ,HOSPITAL,EN2 8JL,CHASE FARM HOSPITAL (ACUTE/COMMUNITY),127 THE RIDGEWAY,0,EN02,448451114000
 Canterbury and Coastal ,PRIVATE HOSPITAL,CT4 7AR,BMI THE CHAUCER HOSPITAL,NACKINGTON ROAD,0,CT01,441227455466
 Bromley ,PRIVATE HOSPITAL,BR6 7RG,BMI CHELSFIELD PARK HOSPITAL,BUCKS CROSS ROAD,0,BR06,441689877855
 Gloucestershire ,HOSPITAL,GL53 7AN,CHELTENHAM GENERAL HOSPITAL (ACUTE),SANDFORD ROAD,0,GL54,443004222222
 Wiltshire ,GP PRACTICE DISPENSING,BA12 0PN,THE ORCHARD PARTNERSHIP,35A CHERRY ORCHARD,10300,BA12,441985850298
 South Devon and Torbay ,GP SURGERY,TQ4 7SH,MAYFIELD MEDICAL CENTRE,CHERRY BROOK SQUARE,14050,TQ04,441803844566
 Redbridge ,GP SURGERY,IG6 2TA,CHIGWELL MEDICAL CENTRE,300 FENCEPIECE ROAD,9000,IG06,442033766670
 Hounslow ,GP SURGERY,W4 1RX,WEST 4 GPS,CHISWICK HEALTH CENTRE,10029,WZ04,442086303518
 Hounslow ,GP SURGERY,W4 1RX,CHISWICK FAMILY DOCTORS PRACTICE,CHISWICK HEALTH CENTRE,4000,WZ04,442086303551
 Hounslow ,GP SURGERY,W4 1RX,CHISWICK HEALTH PRACTICE,CHISWICK HEALTH CENTRE,6300,WZ04,442086301600
 Dorset ,GP SURGERY,BH23 3AF,BARN SURGERY,CHRISTCHURCH MEDICAL CENTRE,7500,BH23,441202486456
 Dorset ,GP SURGERY,BH23 3AF,ORCHARD SURGERY,CHRISTCHURCH MEDICAL CENTRE,7500,BH23,441202481901
 Dorset ,GP SURGERY,BH23 3AF,THE FARMHOUSE SURGERY,CHRISTCHURCH MEDICAL CENTRE,6600,BH23,441202488487
 North Hampshire ,GP SURGERY,RG21 7AN,DR PAGDIN & PARTNERS,"CROWN HEIGHTS MEDICAL CENTRE, 2 DICKSON",25000,RG21,441256329021
 South Norfolk ,GP PRACTICE DISPENSING,NR14 6QH,CHET VALLEY MEDICAL PRACTICE,GEORGE HOUSE,8200,NR17,441508520222
 Oxfordshire ,GP SURGERY,OX12 9BN,CHURCH STREET PRACTICE,WANTAGE HEALTH CENTRE,12890,OX12,441235770245
 East and N Herts ,GP SURGERY,SG12 9EF,CHURCH STREET SURGERY,2 ST. MARYS COURTYARD,8200,SG12,441920468941
 Oxfordshire ,HOSPITAL,OX3 7LJ,CHURCHILL HOSPITAL (ACUTE),OLD ROAD,0,OX03,441865741841
 North East Essex ,HOSPITAL,CO15 1LH,CLACTON & DISTRICT HOSPITAL (ACUTE),TOWER ROAD,0,CO15,441255201717
 Lambeth ,GP SURGERY,SW4 8JP,CLAPHAM PARK GROUP PRACTICE,72 CLARENCE AVENUE,12600,SW04,442086785420
 Windsor Ascot Maidenhead,GP SURGERY,SL6 8AN,CLAREMONT SURGERY,2 COOKHAM ROAD,18000,SL06,441628624469
 Medway ,GP PRACTICE DISPENSING,ME3 7QN,HIGHAM SURGERY,MILLCROFT ROAD,5800,ME03,441634220203
 Surrey Downs ,GP SURGERY,KT11 1HT,"DRS DESOR, HOBBS & PARTNERS",COBHAM HEALTH CENTRE,13100,KT11,441932867231
 North East Essex ,HOSPITAL,CO4 5JL,COLCHESTER GENERAL HOSPITAL (ACUTE),TURNER ROAD,0,CO04,441206747474
 Gloucestershire ,GP PRACTICE DISPENSING,GL16 8RH,COLEFORD FAMILY DOCTORS,COLEFORD HEALTH CENTRE,7100,GL15,441594838108
 North East West Devon,GP SURGERY,EX11 1EQ,COLERIDGE MEDICAL CENTRE,CANAAN WAY,17000,EX10,441404814447
 North East West Devon,GP SURGERY,EX15 1FE,COLLEGE SURGERY PARTNERSHIP,CULM VALLEY INTEGRATED CENTRE FOR HEALTH,16263,EX15,441884831300
 Somerset ,GP SURGERY,TA1 4TY,COLLEGE WAY SURGERY,COMEYTROWE CENTRE,12500,TA01,441823259333
 Herts Valleys ,GP SURGERY,WD3 7DJ,COLNE HOUSE PRACTICE,99A UXBRIDGE ROAD,10000,WD03,441923776295
 North Norfolk ,GP PRACTICE DISPENSING,NR12 7HA,DR MANSFIELD & PARTNERS,COLTISHALL MEDICAL PRACTICE,8390,NR12,441603737593
 West London K&C and Qpp ,GP SURGERY,W11 1PA,COLVILLE HEALTH CENTRE,51 KENSINGTON PARK ROAD,4500,WZ11,442077274592
 Newham ,GP SURGERY,E16 4QH,STAR LANE MEDICAL CENTRE,121 STAR LANE,12558,EZ16,442074764862
 Central London ,PRIVATE CONSULTANT,W1G 8QJ,DR JACK SINGER LTD,2ND FLOOR,0,WZ01,442079352023
